video,Frame,EstFrameGap,IterNum,Permutation
57583_000082_Endzone.mp4,1,3,1540,C-22-19
57583_000082_Endzone.mp4,2,2,1540,C-22-19
57583_000082_Endzone.mp4,3,1,1540,C-22-19
57583_000082_Endzone.mp4,4,0,1540,C-22-19
57583_000082_Endzone.mp4,5,1,1540,C-22-19
57583_000082_Endzone.mp4,6,2,231,C-22-20
57583_000082_Endzone.mp4,7,3,231,C-22-20
57583_000082_Endzone.mp4,8,2,231,C-22-20
57583_000082_Endzone.mp4,9,1,231,C-22-20
57583_000082_Endzone.mp4,10,0,1540,C-22-19
57583_000082_Endzone.mp4,11,1,1540,C-22-19
57583_000082_Endzone.mp4,12,2,1540,C-22-19
57583_000082_Endzone.mp4,13,3,231,C-22-20
57583_000082_Endzone.mp4,14,2,231,C-22-20
57583_000082_Endzone.mp4,15,1,231,C-22-20
57583_000082_Endzone.mp4,16,0,1540,C-22-19
57583_000082_Endzone.mp4,17,1,1540,C-22-19
57583_000082_Endzone.mp4,18,2,1540,C-22-19
57583_000082_Endzone.mp4,19,3,231,C-22-20
57583_000082_Endzone.mp4,20,2,231,C-22-20
57583_000082_Endzone.mp4,21,1,231,C-22-20
57583_000082_Endzone.mp4,22,0,231,C-22-20
57583_000082_Endzone.mp4,23,1,231,C-22-20
57583_000082_Endzone.mp4,24,2,231,C-22-20
57583_000082_Endzone.mp4,25,3,231,C-22-20
57583_000082_Endzone.mp4,26,2,231,C-22-20
57583_000082_Endzone.mp4,27,1,231,C-22-20
57583_000082_Endzone.mp4,28,0,231,C-22-20
57583_000082_Endzone.mp4,29,1,231,C-22-20
57583_000082_Endzone.mp4,30,2,231,C-22-20
57583_000082_Endzone.mp4,31,3,231,C-22-20
57583_000082_Endzone.mp4,32,2,231,C-22-20
57583_000082_Endzone.mp4,33,1,231,C-22-20
57583_000082_Endzone.mp4,34,0,231,C-22-20
57583_000082_Endzone.mp4,35,1,231,C-22-20
57583_000082_Endzone.mp4,36,2,22,C-22-21
57583_000082_Endzone.mp4,37,3,22,C-22-21
57583_000082_Endzone.mp4,38,2,22,C-22-21
57583_000082_Endzone.mp4,39,1,22,C-22-21
57583_000082_Endzone.mp4,40,0,231,C-22-20
57583_000082_Endzone.mp4,41,1,231,C-22-20
57583_000082_Endzone.mp4,42,2,231,C-22-20
57583_000082_Endzone.mp4,43,3,231,C-22-20
57583_000082_Endzone.mp4,44,2,22,C-22-21
57583_000082_Endzone.mp4,45,1,22,C-22-21
